Product_id:  Product_name:  Product_model:  From:   To:  Quantity: Month:   Week:  Year:
54       Computer            M9            Khulna      Bogra   83      January   Week1   2007
36       Motor            M8            Jessore      Bogra   80      January   Week1   2007
154       Motor            M1            Mymensingh      Bogra   21      January   Week1   2007
150       Watch            M0            Jessore      Bogra   35      January   Week1   2007
157       RAM            M8            Mymensingh      Bogra   103      January   Week1   2007
114       TV            M4            Dhaka      Bogra   82      January   Week1   2007
120       Watch            M9            Chittagong      Bogra   109      January   Week1   2007
36       Motor            M8            Dhaka      Bogra   90      January   Week1   2007
54       Computer            M9            Jessore      Bogra   62      January   Week1   2007
101       Freeze            M6            Mymensingh      Bogra   61      January   Week1   2007
159       Mobile            M8            Chittagong      Bogra   57      January   Week2   2007
43       TV            M6            Rangpur      Bogra   110      January   Week2   2007
19       CPU            M8            Khulna      Bogra   27      January   Week2   2007
134       RAM            M6            Rangpur      Bogra   44      January   Week2   2007
71       TV            M3            Jessore      Bogra   71      January   Week2   2007
80       Car            M3            Sylhet      Bogra   75      January   Week2   2007
103       Car            M8            Khulna      Bogra   44      January   Week2   2007
154       Motor            M1            Mymensingh      Bogra   61      January   Week2   2007
99       Fan            M7            Mymensingh      Bogra   28      January   Week2   2007
82       CPU            M9            Khulna      Bogra   29      January   Week2   2007
74       Car            M7            Bogra      Bogra   87      January   Week3   2007
146       Fan            M9            Sylhet      Bogra   42      January   Week3   2007
81       Watch            M6            Khulna      Bogra   71      January   Week3   2007
118       RAM            M9            Bogra      Bogra   92      January   Week3   2007
140       Car            M9            Jessore      Bogra   37      January   Week3   2007
106       Fan            M4            Khulna      Bogra   92      January   Week3   2007
125       CPU            M4            Jessore      Bogra   118      January   Week3   2007
146       Fan            M9            Rajshahi      Bogra   115      January   Week3   2007
72       Watch            M7            Khulna      Bogra   78      January   Week3   2007
120       Watch            M9            Barisal      Bogra   115      January   Week3   2007
59       Motor            M2            Barisal      Bogra   119      January   Week4   2007
36       Motor            M8            Mymensingh      Bogra   24      January   Week4   2007
106       Fan            M4            Rajshahi      Bogra   30      January   Week4   2007
172       Watch            M4            Rangpur      Bogra   51      January   Week4   2007
127       Motor            M5            Rangpur      Bogra   63      January   Week4   2007
157       RAM            M8            Barisal      Bogra   77      January   Week4   2007
159       Mobile            M8            Chittagong      Bogra   116      January   Week4   2007
152       RAM            M2            Khulna      Bogra   47      January   Week4   2007
99       Fan            M7            Jessore      Bogra   42      January   Week4   2007
103       Car            M8            Jessore      Bogra   71      January   Week4   2007
103       Car            M8            Rangpur      Bogra   30      January   Week1   2007
162       Freeze            M9            Rangpur      Bogra   116      January   Week1   2007
74       Car            M7            Mymensingh      Bogra   116      January   Week1   2007
54       Computer            M9            Rajshahi      Bogra   105      January   Week1   2007
118       RAM            M9            Jessore      Bogra   34      January   Week1   2007
88       Fan            M1            Rangpur      Bogra   111      January   Week1   2007
77       CPU            M3            Bogra      Bogra   117      January   Week1   2007
107       RAM            M3            Barisal      Bogra   117      January   Week1   2007
