          M0             M1             M2             M3             M4             M5             M6             M7             M8             M9             
Mobile        49            99            37            87            164            72            103            107            159            119            
Computer        177            99            125            133            88            106            72            104            107            54            
TV        145            138            57            71            114            74            43            89            100            127            
Freeze        70            63            134            140            57            133            101            125            156            162            
Motor        116            154            59            92            99            127            138            36            36            37            
Fan        26            88            52            79            106            38            60            99            189            146            
Car        111            19            51            80            181            185            194            74            103            140            
RAM        118            149            152            107            72            42            134            82            157            118            
CPU        112            62            182            77            125            139            188            95            19            82            
Watch        150            92            81            91            172            120            81            72            132            120            
